start_time,end_time,text
123.36,125.64," De Vinky, le bon mec qui veut vraiment s'engager."
125.64,127.08, Tu sais ce qui est vraiment tordu.
127.08,128.84, Ces femmes savent qu'elles sont abîmées.
128.84,131.72, Elles savent que leur capacité à s'attacher est foutu.
131.72,134.04, Elles savent qu'elles portent un énorme bagage.
134.04,139.04," Mais au lieu de bosser sur elle-même, elles ont reformulé ça en tu dois m'accepter comme je suis."
139.04,139.72," Non, chérie."
139.72,141.24, Personne n'a accepté tes conneries.
141.24,143.04," Ton trauma, c'est à responsabilité."
143.04,144.64, Pas celle de ton prochain copain.
144.64,145.88, L'exigence est dingue.
145.88,150.2, Ces femmes croient vraiment qu'après avoir passé dix ans à donner leurs meilleurs années
150.2,155.08," à des mecs qui s'engageront pas, elles mérite un mari parfait qui guérera toute leur blessure."
155.08,159.24," Elles pensent qu'un mec devrait arriver, ignorer leurs passés, réparer leurs problèmes,"
159.24,161.88, élever leurs gosses et être reconnaissant pour l'occasion.
161.88,163.28, La folie est impressionnante.
163.28,165.28, Les réseaux sociaux ont tempiéré les choses.
165.28,171.08," Maintenant, elles ont des bulles où on leur dit que leur dette émotionnelle est en fait de l'expérience et de la croissance."
171.12,175.92," Que leur amertume se sont délimites, que leur incapacité à faire confiance, c'est de la prudence."
175.92,178.16, Elles ont créé tout un langage pour éviter d'assumer.
178.16,181.76," C'est pas des dommages, c'est un parcours, c'est pas un bagage, c'est une histoire."
181.76,182.8, Voilà ce qu'elles ne disent pas.
182.8,185.04," Chaque relation casual, laisse une cicatrice."
185.04,189.4," Chaque fois qu'elles ont donné leur corps à quelqu'un qui n'est valorisé pas, ça a enlevé un morceau de leur âme."
189.4,191.4," Quand elles sont prêtes à se poser, elles sont vides."
191.4,192.48, Elles ont plus rien à donner.
192.48,198.16," Elles sont émotionnellement à sec, elles tournent sur les réserves et essaient de construire un truc vrai avec des sentiments faux."
198.16,201.48, Le marché sexuel leur a appris à utiliser leur corps comme monnaie.
201.48,203.68," Dans leur 20 ans, cette monnaie avait de la valeur."
203.68,208.92," Elle pouvait avoir de l'attention, de la validation, même un engagement temporaire de mecs de qualité."
208.92,211.48, Mais elles l'ont tout dépensé sur des mecs qui sont paraissés.
211.48,217.08," Maintenant, elles ont 35 ans, la monnaie est dévaluée et elles sont furieuses que leur score de crédit sexuel soit pourri."
217.08,218.52, Je vois ce paterne tout le temps.
218.52,222.96," Une femme fait le tour des manèges pendant 15 ans, accumule une dette émotionnelle énorme,"
222.96,227.48, puis rencontre un mec sympa et attend de lui qui leur refarnense toute son histoire émotionnelle.
227.48,230.72, Elle veut qu'il paie un prix premium pour ce qu'elle a donné gratos.
230.72,234.4, Elle veut un engagement de banquier d'investissement pour un comportement de l'defense.
234.4,237.08," Les matres colopas, mais elles sont trop exigantes pour le voir."
237.08,239.16, Les tactiques de manipulation sont incroyables.
239.16,243.32, Elles déversent leur traumato pour tester si tu seras leur nettoyeur émotionnel.
243.32,246.28, Elles créent des problèmes qui n'existent pas pour voir si tu les résoudras.
246.28,248.56, Elles poussent les limites pour voir si tu tiendras bon.
248.56,251.52," Et si tu joues pas le jeu, si tu acceptes pas leur dette émotionnelle,"
251.52,254.76, t'es émotionnellement indisponible et tu peux pas gérer une vraie femme.
254.76,258.2," Vraiment, non, t'es une collection de problèmes, non résolue dans une robe."
258.2,262.76, Une vraie femme gérerait sa propre dette émotionnelle avant d'entrer dans une nouvelle relation.
262.76,266.44, Une vraie femme attendrait pas qu'un mec paix pour des dégâts qu'il a pas causé.
266.44,271.08, Une vraie femme assumeraient ses choix au lieu de demander à quelqu'un d'autre de réparer les conséquences.
271.08,272.72, Les dynamiques d'abus sont folles.
272.72,276.84, Ces femmes punissent littéralement leurs copains actuelles pour des trucs que leur ex a fait.
276.84,278.44, Ils répondent pas tout de suite au texto.
278.44,280.08, Déclencher parce que son ex lignorez.
280.08,281.12, Ils seurent avec des potes.
281.12,283.08, Déclencher parce que son ex la trompé.
283.12,284.08, Ils posent des limites.
284.08,285.92, Déclencher parce que son ex était contrôlant.
285.92,288.24, Le mec ne peut pas gagner parce qu'il rivalise pas avec elle.
288.24,292.32, Il rivalise avec le fantôme des bits passés et Dieu t'engarde si tu parles de leur passer.
292.32,293.56, Demande leur compte de corps.
293.56,294.28, T'es un secure.
294.28,296.6, Questionne pourquoi tous leurs ex étaient un arcissique.
296.6,298.0, T'es en train de blâmer la victime.
298.0,299.92, Pointe des pâtèrents dans leur histoire de relation.
299.92,300.52, T'es jugant.
300.52,302.48, Elle veut le que tu ignores leur passé.
302.48,303.44, Tout en payant pour lui.
303.44,305.96, C'est une taxation émotionnelle sans représentation.
305.96,307.8, La diction à la validation est le pire.
307.8,311.16, Ces femmes ont passé tendonnais à chercher de la validation via le sexe.
311.16,313.56, Elle ne peut pas fonctionner sans attention constante.
313.56,317.56," Elles ont besoin de centaines de l'aïques, de dizaines de matchs, de réassurances continuent."
317.56,321.6, La tension d'un seul mec suffit pas parce qu'elles sont habituées à en avoir des centaines.
321.6,323.08, Elles sont junkies à la tension.
323.08,324.72, Éterçant c'est être leur dileur.
324.72,326.88, Les réseaux sociaux montrent ça parfaitement.
326.88,329.8," Regardes une femme en couple qui poste encore des pièges à soif,"
329.8,331.96," qui cherchent encore de la validation d'un connu,"
331.96,333.84, qui garde des orbités en réserve.
333.84,336.08, Elles ne peuvent pas arrêter parce que la diction est trop forte.
336.08,339.16," Elle a besoin de secou de d'opamines d'attention masculine,"
339.16,340.64, même si ça détruit sa relation.
340.64,343.12," Et quand ça arrive, c'est à faute parce que t'es un secure."
343.12,345.64, Les dommages psychologiques du manège sont permanents.
345.64,347.84, Ces femmes peuvent pas s'attacher correctement.
347.84,350.28, Elles ont entraîné leur cerveau à chercher la nouveauté.
350.28,352.0," A jamais être satisfaites,"
352.0,353.88, à toujours viser le prochain upgrade.
353.88,357.8, Elles comparent chaque mec à un mélange des meilleurs traits de tous les mecs avec qui elles ont été.
357.8,359.2, Tu rivalises pas avec un ex.
359.2,362.48, Tu rivalises avec un monstre de Frankenstein de 20 mecs différents.
362.48,363.92, Mais voilà ce qui se passe vraiment.
363.92,366.32, Elles réalisent que leur stratégie a forêt.
366.32,367.2, Le plan était simple.
367.2,368.28," Baiser des mecs chauds,"
368.28,370.88," quand jeûne, bloquer un pourvoyeur, qu'en plus âgés."
370.88,373.16, Mais les mecs chauds les ont pompé et largué.
373.16,374.96, Et les pourvoyeurs se réveillent au jeu.
374.96,377.72," Maintenant, elles sont coincées entre les mecs qu'elles veulent,"
377.72,378.48, qui s'engagent pas.
378.48,380.32," Et les mecs qu'ils s'engageraient, qu'elles veulent pas."
380.32,381.92, La mer tume que s'accrès est toxique.
381.92,384.44, Elles sont furieuses contre les mecs chauds pour ne pas s'engager.
384.44,386.76, Furieuses contre les mecs moyens pour ne pas être chauds.
386.76,389.96, Furieuses contre elles même pour leur choix mais incapable de l'admettre.
389.96,394.28," Du coup, elles projettent toute cette colère sur le mec assez con pour sortir avec elles."
394.28,397.12, Ils deviennent le punching ball pour une décennie de mauvaises décisions.
397.12,399.36, Les appels de Dating Modern ont empiré ça.
399.36,403.48, Les femmes peuvent maintenant accumuler de la dette émotionnelle à d'Eto Inédie.
403.48,406.4, 50 premières encards en un an des centaines de matchs.
406.4,408.16, Des dizaines de situations chip.
408.16,409.64, Chacun ajoutant à la dette.
409.64,412.16, Chacun les rendant moins capables de vraie connexion.
412.16,413.96," Quand elles sont prêtes pour un truc sérieux,"
413.96,415.8, elles sont émotionnellement fauchées.
415.8,417.96, Les sprites transactionnelles et révélateurs.
417.96,421.24, Elles ont donné du sexe gratos quand elles avaient l'avantage.
421.24,423.64," Maintenant, elles veulent de l'engagement gratos"
423.68,424.64, quand elles l'ont plus.
424.64,426.72," Elles voient les relations comme des échanges,"
426.72,427.6, pas des partenariats.
427.6,428.92, Qu'est-ce que tu peux faire pour moi ?
428.92,430.52, Qu'est-ce que t'apporte à la table ?
430.52,432.2, Comment tu peux réparer mes problèmes chez eux ?
432.2,435.0," Et elles pensent jamais à ce qu'elles peuvent offrir,"
435.0,436.8, toujours à ce qu'elles peuvent extraire.
436.8,438.8, Je conseille des mecs qui gèrent ça tout le temps.
438.8,441.48," Ils rencontrent une femme, pense qu'elle est super"
441.48,446.08, et réalise lentement qu'ils sont juste une équipe de nettoyages émotionnels.
446.08,448.84," Leur job, c'est pas d'être aimé, c'est de réparer les dégâts."
448.84,451.16," Le rôle, c'est pas partenaires, c'est apute."
451.16,453.36," Leur but, c'est pas de construire un truc ensemble."
453.4,455.8, C'est de payer ces cartes de crédit émotionnel.
455.8,457.72, L'allergie à l'assumation est des réels.
457.72,459.84, Ces femmes font des acrobaties mentales
459.84,462.12, pour éviter de prendre la responsabilité de leur choix.
462.12,464.32," Chaque mauvaise relation, c'était la faute du mec."
464.32,466.2," Chaque échec, c'était les circonstances."
466.2,468.04," Chaque conséquence, c'était injuste."
468.04,470.76, Elles sont jamais le point commun dans leurs propres désastres.
470.76,472.44, C'est toujours la faute de quelqu'un d'autre.
472.44,473.76," Tu veux savoir la vraie histoire,"
473.76,475.2, demandes à une femme sur ses exes
475.2,478.12," si ils sont tous des con, des narcissiques, des abuseurs,"
478.12,480.76," offus, soit elle a le pire jugement de l'histoire,"
480.76,482.0, soit elle est le problème.
482.04,483.68," Probablement, les deux, une femme,"
483.68,485.76," qui ne peut pas dire un truc bien sur aucun ex,"
485.76,487.72," te dit exactement comment elle parlera de toi,"
487.72,488.52, quand ce sera fini.
488.52,490.64," Les exceptions existent, mais elles sont rares."
490.64,493.28, Certaines femmes apprennent vraiment de leurs erreurs.
493.28,495.16," Font le boulot, guérissent leurs trauma,"
495.16,496.92, mais elles ne sont pas sur TikTok
496.92,498.72, à se venter de leur compte de corps.
498.72,500.6, Elles demandent pas au mec de les réparer.
500.6,502.44, Elles bossent sur elles-mêmes en silence.
502.44,504.04," Assume, deviennent meilleur."
504.04,505.32, Ces femmes valent de leur.
505.32,508.32, Mais bonne chance pour les trouver dans la fausse sceptique moderne.
508.32,510.4," Le conseil pour les mecs est simple, mais dur."
510.4,511.96," Sort pas avec de la dette émotionnelle,"
511.96,513.72, paie pas pour des dégâts que t'as pas causés.
513.72,515.68, Soit pas le centre de réab de quelqu'un.
515.68,517.24," Si elle gère pas son propre trauma,"
517.24,518.52, elle gère pas une relation.
518.52,520.0," Si elle attend que tu la répars,"
520.0,521.04, elle est pas prête pour toi.
521.04,522.6," Si son passé est ton problème,"
522.6,523.84, faisons son passé en partant.
523.84,526.16, Les femmes se dénonce à des taux inédits.
526.16,529.44, Elles postent littéralement leur drapeau rouge comme contenu.
529.44,530.8," Je suis folle, mais fun."
530.8,532.36," Si tu peux pas me gérer à mon pire,"
532.36,534.2, j'ai besoin d'un mec qui peut gérer mon trauma.
534.2,535.12, Elle t'a vertice.
535.12,538.44," Croyez, quand quelqu'un te dit qu'il est de la marchandise abîmée"
538.44,540.32, et c'est pas de la réparer par juste.
540.32,542.16, L'arnac du voyage de guérison est partout.
542.16,543.64," Ces femmes parlent de faire le boulot,"
543.64,544.92, tout en faisant rien d'autre
544.92,546.6, que postez des citations sur Instagram.
546.6,548.64, Elles croient que thérapie une fois par mois
548.64,550.48," en continuant des comportements toxiques,"
550.48,551.48, c'est de la croissance.
551.48,554.08, Elles confondent parler des problèmes avec les résoudres.
554.08,556.76," Elles guérissent pas, elles deviennent juste plus douées"
556.76,557.84, pour décrire leurs dégâts.
557.84,559.44, Le futur est sombre pour ces femmes.
559.44,561.44, Elles vieillissent hors du marché sexuel
561.44,564.52, avec une dette émotionnelle énorme que personne veut payer.
564.52,566.2," Elles sont amères, abîmées,"
566.2,567.88, incapables de s'attacher
567.88,570.0, et exige un traitement premium
570.0,571.8, pour de la marchandise bas de gamme.
571.8,573.4," Le mur s'en fout de leurs traumas,"
573.4,575.28," le temps s'en fout de leur voyage de guérison,"
575.28,577.0, la biologie s'en fout de leur limite.
577.0,578.6, Les mecs se réveillent à sa en masse.
578.6,580.56, Le mouvement rét pile malgré ces défauts
580.56,583.56," a appris au mec à reconnaître la dette émotionnelle,"
583.56,585.24," à voir les signes, à éviter le piège."
585.24,587.4," Chaque mec qui apprend sur les comptes de corps,"
587.4,588.4," les veuves alphas,"
588.4,589.8," et les dégâts émotionnels,"
589.8,592.56, est un mec de moins prêt à payer pour les erreurs de quelqu'un d'autre.
592.56,594.12, L'équipe de nettoyage fait grève.
594.12,595.4, La projection est incroyable.
595.4,599.04," Ces femmes accusent les mecs d'être émotionnellement indisponibles,"
599.04,600.8, tout en étant des vampires émotionnels.
600.8,603.28," Elles disent que les mecs ont peur de l'engagement,"
603.28,605.56, tout en étant incapables de s'engager elles-mêmes.
605.56,607.72," Elles disent que les mecs sont abîmés,"
607.72,610.0, tout en portant plus de bagages qu'un aéroport.
610.0,611.36," C'est toujours de la projection,"
611.36,613.72," toujours de la déviation, jamais de la réflexion."
613.72,616.36, Les réseaux sociaux leur ont donné la corde pour se prendre.
616.36,618.04," Chaque poste sur leurs standards,"
618.04,620.32," leurs exigences, leurs traumas, leurs voyages."
620.32,621.16, C'est tout des preuves.
621.16,623.84, Les mecs peuvent voir exactement dans quoi ils s'en barkent.
623.84,625.8, Plus de cachettes derrière le mystère féminin.
625.8,628.08," Plus de faire semblant d'être ce qu'elles ne sont pas,"
628.08,630.04, la vérité est là dans leur propre mot.
630.04,631.4, Les doubles standards sont dingues.
631.4,633.84, Un mec avec du bagage émotionnel doit le gérer seul.
633.84,635.4, Une femme avec du bagage émotionnel
635.4,637.16, a besoin d'un mec pour le gérer pour elle.
637.16,638.52, Le passé d'un mec compte.
638.52,640.28," Le passé d'une femme, c'est juste le passé."
640.28,642.16, Un mec devrait apporter de la valeur.
642.16,644.12, La présence d'une femme est la valeur.
644.12,646.12, Elles veulent les bénéfices traditionnelles
646.12,647.24, avec la liberté moderne.
647.24,649.6, Et elles sont choquées quand les mecs refusent de jouer.
649.6,650.88, Tu sais ce qui se passe vraiment.
650.88,653.6, Les femmes réalisent que les actions ont des conséquences
653.6,656.24, que passer dix ans sur le manège laisse des marques
656.24,658.6," que traiter les relations comme trans-accionnelles,"
658.6,659.88," les rangs trans-accionnelles,"
659.88,662.68, que la dette émotionnelle accumule des intérêts.
662.68,664.16, Et maintenant la facture arrive.
664.16,665.4, Mais personne veut la payer.
665.4,666.68, Les intelligentes paniques.
666.68,668.32," Elles voient le mur approcher,"
668.32,669.48," sentent leurs options,"
669.48,670.16," rétréscir,"
670.16,671.88, sentent leur pouvoir s'effacer.
671.88,673.2," Les connes double la mise,"
673.2,675.44," monte leur standard, augmente leurs exigences."
675.44,677.04," Les deux finissent au même endroit,"
677.04,678.16," seul avec leur chat,"
678.16,679.68," à se demander où sont passés,"
679.68,680.48, tous les bons mecs.
680.48,681.76, Les bons mecs sont avec des femmes
681.76,684.16, qui ont pas accumulé de dette émotionnelle.
684.16,686.64, C'est la vraie nature féminine qu'elles peuvent plus cacher.
686.64,688.72, Elles veulent les bénéfices des deux stratégies.
688.72,690.04," Le fun du manège,"
690.04,691.52," et la sécurité de l'engagement,"
691.52,693.04," l'excitation des bad boys,"
693.04,694.56," et la stabilité des bons mecs,"
694.56,696.04," la liberté du féminisme,"
696.04,697.88, et la provision du traditionalisme.
697.88,699.56, Elles veulent tout mériter rien.
699.56,701.8, Et sont furieuses contre les mecs pour l'avoir remarqué.
701.8,704.24, Les tentatives de liens par trauma sont pathétiques.
704.24,706.44, Elles essaient de te faire sentir responsable
706.44,707.48, de leur état émotionnelle.
707.48,708.8," Si tu répond pas au texto,"
708.8,710.04," elles spirent, elles spiralent."
710.04,711.12," Si tu poses des limites,"
711.16,711.76, elles craquent.
711.76,713.2," Si tu refuse de les réparer,"
713.2,714.4, t'es en train de les abandonner.
714.4,717.0, Elles utilisent leurs dégâts comme armes pour te contrôler.
717.0,718.52," C'est du terrorisme émotionnel,"
718.52,719.92, et elles croient que c'est de l'amour.
719.92,721.12, Les mecs doivent comprendre ça.
721.12,723.24, T'es pas un centre de réable pour femmes abîmées.
723.24,726.12, T'es pas responsable de réparer les mauvais choix de quelqu'un d'autre.
726.12,728.48, Tu dois rien à personne en travail émotionnel
728.48,729.92, pour un trauma que t'as pas causé.
729.92,731.52," Ton job c'est de trouver une partenaire,"
731.52,732.76, pas d'adopter un projet.
732.76,734.64," Si elle arrive avec de la dette émotionnelle,"
734.64,736.32, elle est pas prête pour une relation.
736.32,738.12, Les conséquences sont générationnelles.
738.12,740.12, Ces femmes émotionnellement abîmées
740.12,741.76, élèvent la prochaine génération.
741.76,744.36, Apprennent à leur fille que l'assumation émotionnelle
744.36,745.56, apprennent à leur fils
745.56,748.12, que la responsabilité masculine est obligatoire.
748.12,750.24," Perpétueux des cycles de dysfonctionnement,"
750.24,753.12, tout en postant sur briser les traumas générationnelles.
753.12,755.72," Elle brise rien, elle le repackage juste."
755.72,756.92, Mais voilà la pilule blanche.
756.92,757.96, Les mecs ont des options.
757.96,760.36, Tu peux refuser de sortir avec de la dette émotionnelle.
760.36,761.36, Tu peux exiger mieux.
761.36,763.32, Tu peux partir des marchandises abîmées.
763.32,765.88, T'as pas accepté le bagage de quelqu'un comme ton fardot.
765.88,768.2, T'as pas appéhié pour des crimes que t'as pas commis.
768.2,770.28, Tu peux choisir la paix plutôt que les problèmes.
770.28,771.76, Les standards doivent s'inverser.
771.76,774.08, Au lieu que les femmes et des listes d'exigence.
774.08,776.6, Les mecs ont besoin de listes de disqualification.
776.6,778.04," Contre de corps élevés, disqualifiés."
778.04,780.4," Peu pas arrêter de parler de ces ex, disqualifiés,"
780.4,782.2," attend que tu la répartes, disqualifiés."
782.2,784.96," Cherchent encore de la validation en ligne, disqualifiés,"
784.96,787.12," à de la dette émotionnelle, disqualifiés,"
787.12,787.96," soit s'empitier,"
787.96,790.92, parce qu'elle le serait si les rôles étaient inversés.
790.92,793.2, Les femmes révèlent leur nature par leur plainte.
793.2,795.68," Quand elle se plaigne que les mecs montent pas au niveau,"
795.68,797.8, elles révèlent qu'elles ont besoin de quelqu'un pour les sauver.
797.8,800.4," Quand elle se plaigne d'indisponibilité émotionnelle,"
800.4,802.6, elles révèlent qu'elles sont des vampires émotionnels.
802.6,804.68," Quand elles se plaignent de problèmes d'engagement,"
804.68,806.48, elles révèlent qu'elles sont désespérées.
806.48,807.92, Écoute de quoi elles se plaignent.
807.92,809.0, Ça te dit tout.
809.0,811.88, Le confessionnal des réseaux sociaux continue de fournir des preuves.
811.88,814.12," Des femmes qui postent sur leur trait, toxiques,"
814.12,816.32," leur côté folle, leur dégâts émotionnels,"
816.32,817.24, comme si c'était mignon.
817.24,817.92, C'est pas mignon.
817.92,819.2, C'est un label d'avertissement.
819.2,821.0," Quand quelqu'un te dit qu'il est du poison,"
821.0,821.6, boit pas.
821.6,824.48, Quand quelqu'un te montre qu'il est abîmé et c'est pas de le réparer.
824.48,826.6," Quand quelqu'un révèle sa nature, croit-le."
826.6,827.68, Voilà ce que personne dit.
827.68,831.32," Les attentes mal alignées entre ce que les femmes croient de mérité,"
831.32,832.84, et ce qu'elles offrent vraiment.
832.84,836.16, Elles ont passé leur 20 ans à donner leurs meilleurs années physiques
836.16,837.8," à des mecs qui ne s'engagent pas,"
837.8,841.48, accumulant des dégâts émotionnels avec chaque situation de chiffre ratée.
841.48,842.64," Maintenant dans la trentaine,"
842.64,844.36," avec une fertilité diminuée,"
844.36,846.56," un bagage augmenté et des coeurs endurci,"
846.56,849.16, elles attendent un mec encore mieux que ceux qui les ont rejetés.
849.16,851.12, La dissonance cognitive est dingue.
851.16,855.12, La destruction d'estime de soi par la recherche de validations est profonde.
855.12,858.4, Ces femmes ont construit toute leur identité sur la tension masculine.
858.4,860.12, Les like Instagram étaient leur monnaie.
860.12,861.84, Les DM étaient leur validation.
861.84,863.8, Les comptes de corps étaient leur tableau de score.
863.8,868.0, Mais la validation externe est une drogue qui demande des doses plus hautes avec le temps.
868.0,870.6," Maintenant, elles ont besoin de réassurance constante,"
870.6,872.2, juste pour se sentir normal.
872.2,873.6, Elles cherchent pas des partenaires.
873.6,876.44, Elles cherchent des distributeurs permanents de validation.
876.44,879.84, Les dynamiques potentiellement abusives que sa créent sont terrifiantes.
879.88,883.28," Les femmes avec une dette émotionnelle non résolue à porte,"
883.28,884.28, pas juste du bagage.
884.28,888.72," Elles apportent des pateurs de manipulation, de contrôle et de volatilité émotionnelle."
888.72,890.92," Elles ont appris à utiliser les larmes comme arme,"
890.92,894.2, le sexe comme monnaie et la victimisation comme stratégie.
894.2,899.0, Elles te feront du gas-lighting pour te faire croire que leur instabilité émotionnelle est à faute.
899.0,901.12," Elles te rendront responsable de leur bonheur,"
901.12,903.32, tout en prenant zéro responsabilité pour le tient.
903.32,905.16, J'ai vu des mecs détruits par ces dynamiques.
905.16,907.84, Des bons mecs qui pensaient pouvoir aimer quelqu'un pour la guérir.
907.88,910.92," Des mecs qui sacrifient leurs paix, leurs amis, leurs santé mentale,"
910.92,914.6," en essayant de remplir un trou noir émotionnel qui peut jamais être comblé,"
914.6,916.04, ces femmes ont pas besoin de copains.
916.04,917.4, Elles ont besoin de terapètes.
917.4,919.76, Mais la thérapie demande de l'assumation.
919.76,921.8, Et c'est la seule chose qu'elle refuse d'accepter.
921.8,923.16, La nuance est importante ici.
923.16,924.48, Pas toutes les femmes sont comme ça.
924.48,926.64," Il y a des femmes qui ont vraiment bossé sur elles-mêmes,"
926.64,927.88," qui ont assumé leurs passées,"
927.88,930.4," qui entrent dans des relations comme des personnes entières,"
930.4,931.72, plutôt que des projets cassés.
931.72,933.52, Mais elles deviennent de plus en plus rare.
933.52,935.64," La culture célèbre le dysfonctionnement,"
935.64,938.4, récompense la victimisation et punie l'assumation.
938.4,940.12, Les incitations sont à l'envers.
940.12,944.32," Le futur appartient aux mecs qui refusent d'accepter la dette émotionnelle,"
944.32,946.44," qui exige des partenaires, pas des projets,"
946.44,948.72," qui cherchent des constructrices, pas des fardots."
948.72,950.48, L'air de l'équipe de nettoyage se termine.
950.48,952.32, L'âge des standards masculins commence.
952.32,954.72, Les femmes peuvent plus cacher leur vrai nature.
954.72,957.44, Et les mecs peuvent plus faire semblant de pas la voir.
957.44,958.96, C'est pas de la haine envers les femmes.
958.96,960.44, C'est reconnaître la réalité.
960.44,964.52, Beaucoup de femmes portent une dette émotionnelle énorme à cause de mauvais choix.
964.52,966.92, Elles attendent que les mecs paient pour cette dette.
966.92,968.56, Les mecs refusent de plus en plus.
968.56,971.28, Ça crée une crise pour les femmes qui comptaient sur quelqu'un d'autre
971.28,972.6, pour réparer leur problème.
972.6,975.28," La solution est simple, gère ta propre dette émotionnelle"
975.28,976.56, ou reste célibataire.
976.56,980.4," Les masques sont tombées, la vérité est révélé et le jeu est exposé."
980.4,984.56, Les femmes ont sans le vouloir montrer exactement qui elles sont et ce qu'elles attendent.
984.56,987.76," Elles ont révélé leur dette émotionnelle, leur exigence,"
987.76,989.4, leur incapacité à assumer.
989.4,991.68, Elles peuvent plus cacher leur vrai nature
991.68,995.04, parce qu'elles la diffusent tous les jours pour des like et de la validation.
995.04,996.8, Alors qu'est-ce que tu fais avec cette info ?
996.8,999.52, D'abord reconnais la dette émotionnelle quand tu la vois.
999.52,1002.24, Deux refuses de payer pour des dégâts que t'as pas causés.
1002.24,1005.16, Trois exiges de l'assumation et de la responsabilité
1005.16,1007.08, de n'importe quel partenaire potentiel.
1007.08,1009.56, Quatre partes de n'importe qui qui attend que tu la répars.
1009.56,1011.12," Ta vie est trop courte pour la passer,"
1011.12,1013.56, à payer les cartes de crédit émotionnel de quelqu'un d'autre.
1013.56,1015.08, Le mur reste un vaincu.
1015.08,1018.08," Le temps continue de tourner, la biologie s'en fout des sentiments"
1018.08,1019.36, et les mecs se réveillent.
1019.44,1021.76, Les femmes peuvent plus cacher leur vrai nature
1021.76,1023.52, et c'est la meilleure chose qui pouvait arriver.
1023.52,1026.6, Parce que maintenant on peut voir exactement avec quoi on dit
1026.6,1028.28, et prendre des décisions informées.
1028.28,1029.64, La connaissante c'est le pouvoir
1029.64,1032.2, et elle nous en donnait toute la connaissance qu'on a besoin.
1032.2,1035.44," Au mec qui lisons ça, tu mérites mieux que la dette émotionnelle de quelqu'un."
1035.44,1038.16, Tu mérites une partenaire qui a géré ses propres problèmes.
1038.16,1040.64," Tu mérites quelqu'un qui ajoute de la valeur, pas des problèmes."
1040.64,1044.24, Te contentes pas de marchandises abîmées juste parce qu'elle est disponible.
1044.24,1046.44, Attends la qualité ou profite de la solitude.
1046.44,1048.92, Les deux sont mieux que payés pour les erreurs de quelqu'un d'autre.
